ID,Name,StudyHours,Attendance,Marks,Grade,Result,Performance Score
233,Student_233,6.2,73,54.4,F,Pass,51.82
234,Student_234,5.4,68,47.3,F,Pass,46.19
235,Student_235,2.8,65,70.3,D,Pass,58.85
241,Student_241,9.5,62,90.8,B,Pass,71.4
244,Student_244,4.3,74,85.3,C,Pass,70.33
249,Student_249,9.7,56,79.4,C,Pass,63.09
250,Student_250,8.7,54,50.6,F,Pass,45.16
255,Student_255,2.5,72,49.9,F,Pass,48.31
257,Student_257,9.4,59,83.6,C,Pass,66.32
263,Student_263,2.3,67,72.5,D,Pass,60.59
265,Student_265,8.9,51,70.5,D,Pass,56.38
266,Student_266,7.7,63,57.9,F,Pass,51.64
267,Student_267,7.3,62,73.9,D,Pass,60.94
269,Student_269,4.2,61,92.4,B,Pass,71.32
271,Student_271,8.3,51,85.7,C,Pass,65.42
273,Student_273,8.8,62,67.7,D,Pass,57.44
278,Student_278,6.8,66,46.0,F,Pass,45.12
282,Student_282,4.0,73,73.3,D,Pass,62.83
286,Student_286,1.3,55,61.3,D,Pass,50.72
287,Student_287,5.2,68,87.0,C,Pass,69.98
289,Student_289,3.6,56,40.3,F,Pass,38.72
290,Student_290,6.3,59,85.7,C,Pass,67.11
295,Student_295,2.1,64,62.1,D,Pass,53.57
299,Student_299,6.6,71,92.6,B,Pass,74.3
300,Student_300,1.8,53,99.8,B,Pass,73.4
301,Student_301,1.5,69,62.1,D,Pass,54.73
305,Student_305,7.5,53,75.6,C,Pass,59.73
307,Student_307,5.6,66,64.8,D,Pass,56.22
308,Student_308,3.9,61,81.7,C,Pass,64.86
309,Student_309,8.2,71,40.2,F,Pass,43.1
310,Student_310,3.4,66,77.2,C,Pass,63.33
311,Student_311,5.0,59,61.3,D,Pass,52.28
312,Student_312,1.7,50,87.7,C,Pass,65.38
313,Student_313,1.2,71,45.6,F,Pass,45.29
315,Student_315,8.5,67,68.9,D,Pass,59.37
317,Student_317,4.7,63,43.9,F,Pass,42.8
320,Student_320,3.3,61,73.6,D,Pass,59.9
323,Student_323,6.9,61,88.3,C,Pass,69.26
324,Student_324,3.5,56,56.2,F,Pass,48.24
326,Student_326,7.6,60,69.9,D,Pass,58.08
328,Student_328,6.5,55,43.5,F,Pass,40.82
330,Student_330,3.2,64,87.1,C,Pass,68.74
333,Student_333,1.1,60,71.0,D,Pass,57.77
334,Student_334,2.0,72,66.4,D,Pass,58.14
340,Student_340,1.9,53,75.9,C,Pass,59.07
341,Student_341,5.4,66,84.1,C,Pass,67.77
343,Student_343,2.6,62,96.0,B,Pass,73.49
346,Student_346,6.5,64,78.2,C,Pass,63.9
349,Student_349,4.4,60,64.6,D,Pass,54.42
351,Student_351,5.5,51,63.0,D,Pass,51.38
353,Student_353,6.9,63,75.3,C,Pass,61.96
354,Student_354,2.5,69,51.1,F,Pass,48.28
355,Student_355,1.6,71,61.7,D,Pass,55.01
356,Student_356,6.8,60,60.1,D,Pass,52.08
358,Student_358,6.3,52,41.5,F,Pass,38.84
359,Student_359,9.5,66,89.9,C,Pass,71.86
363,Student_363,5.1,70,96.4,B,Pass,76.11
365,Student_365,9.5,65,65.8,D,Pass,57.15
367,Student_367,9.7,69,90.5,B,Pass,73.0
368,Student_368,9.1,55,51.2,F,Pass,45.84
369,Student_369,2.8,68,88.2,C,Pass,70.34
370,Student_370,1.6,54,67.5,D,Pass,54.24
371,Student_371,1.9,52,69.0,D,Pass,54.68
372,Student_372,1.2,50,48.0,F,Pass,41.48
374,Student_374,7.1,64,83.7,C,Pass,67.28
378,Student_378,1.2,74,85.9,C,Pass,70.22
379,Student_379,8.3,73,49.5,F,Pass,49.2
380,Student_380,3.5,61,76.6,C,Pass,61.73
381,Student_381,2.1,67,48.1,F,Pass,45.92
382,Student_382,7.3,64,85.1,C,Pass,68.16
384,Student_384,8.9,65,97.4,B,Pass,76.02
386,Student_386,8.2,57,43.4,F,Pass,41.52
388,Student_388,2.6,74,55.7,F,Pass,52.31
389,Student_389,7.8,66,54.8,F,Pass,50.55
391,Student_391,9.9,57,55.0,F,Pass,48.73
392,Student_392,4.7,64,56.3,F,Pass,50.48
396,Student_396,9.4,56,43.9,F,Pass,41.75
397,Student_397,8.7,52,69.3,D,Pass,55.88
400,Student_400,7.8,73,94.4,B,Pass,76.06
401,Student_401,1.9,52,70.3,D,Pass,55.46
402,Student_402,9.1,69,71.9,D,Pass,61.76
404,Student_404,8.4,64,60.8,D,Pass,53.74
405,Student_405,3.9,74,94.0,B,Pass,75.48
407,Student_407,4.5,63,79.8,C,Pass,64.3
408,Student_408,1.1,56,97.8,B,Pass,72.84
409,Student_409,9.1,66,73.6,D,Pass,62.02
411,Student_411,3.9,69,43.1,F,Pass,43.7
413,Student_413,9.6,58,55.6,F,Pass,49.3
416,Student_416,5.0,71,55.4,F,Pass,51.74
417,Student_417,3.6,51,79.3,C,Pass,60.87
418,Student_418,4.0,73,51.9,F,Pass,49.99
419,Student_419,7.1,57,73.9,D,Pass,59.66
420,Student_420,7.8,60,67.8,D,Pass,56.85
421,Student_421,8.1,62,70.3,D,Pass,58.89
422,Student_422,8.1,66,76.5,C,Pass,63.61
423,Student_423,1.8,57,61.0,D,Pass,51.12
424,Student_424,5.4,70,46.8,F,Pass,46.39
425,Student_425,1.5,67,49.1,F,Pass,46.44
427,Student_427,5.0,67,55.1,F,Pass,50.56
433,Student_433,6.6,60,83.4,C,Pass,66.03
435,Student_435,1.8,74,82.5,C,Pass,68.27
439,Student_439,7.4,57,69.1,D,Pass,56.82
440,Student_440,1.7,60,49.9,F,Pass,45.2
441,Student_441,1.8,71,96.7,B,Pass,76.04
443,Student_443,4.4,73,80.1,C,Pass,66.97
445,Student_445,8.3,66,64.7,D,Pass,56.56
446,Student_446,9.5,61,79.1,C,Pass,64.13
449,Student_449,4.4,64,70.8,D,Pass,59.14
450,Student_450,1.8,65,88.4,C,Pass,69.56
451,Student_451,8.0,71,67.6,D,Pass,59.51
453,Student_453,4.8,69,87.2,C,Pass,70.29
455,Student_455,2.0,59,55.5,F,Pass,48.35
460,Student_460,2.1,51,52.3,F,Pass,44.44
464,Student_464,6.3,62,54.3,F,Pass,49.02
467,Student_467,3.6,62,86.3,C,Pass,67.82
469,Student_469,3.0,71,43.9,F,Pass,44.54
471,Student_471,1.1,51,70.3,D,Pass,55.09
477,Student_477,1.7,64,62.8,D,Pass,53.94
483,Student_483,5.1,60,87.6,C,Pass,68.33
484,Student_484,6.6,52,74.7,D,Pass,58.81
485,Student_485,6.3,55,78.1,C,Pass,61.55
486,Student_486,9.1,58,87.9,C,Pass,68.61
487,Student_487,1.4,55,63.8,D,Pass,52.24
488,Student_488,3.5,58,94.9,B,Pass,71.97
494,Student_494,2.7,61,91.4,B,Pass,70.5
495,Student_495,5.2,57,94.4,B,Pass,71.67
496,Student_496,4.2,57,56.6,F,Pass,48.84
499,Student_499,9.8,69,52.1,F,Pass,49.98
501,Student_501,7.3,56,93.6,B,Pass,71.25
502,Student_502,5.8,60,79.3,C,Pass,63.45
503,Student_503,3.8,69,49.1,F,Pass,47.28
504,Student_504,8.3,65,66.4,D,Pass,57.34
505,Student_505,7.2,53,76.9,C,Pass,60.47
506,Student_506,2.5,55,45.0,F,Pass,41.12
507,Student_507,9.2,71,92.9,B,Pass,74.87
509,Student_509,9.5,52,70.3,D,Pass,56.6
512,Student_512,4.8,63,99.0,B,Pass,75.87
513,Student_513,9.4,60,80.1,C,Pass,64.47
514,Student_514,8.8,67,78.1,C,Pass,64.93
515,Student_515,1.4,61,50.0,F,Pass,45.46
516,Student_516,1.2,72,92.9,B,Pass,73.92
517,Student_517,4.4,61,65.6,D,Pass,55.27
518,Student_518,8.3,62,49.7,F,Pass,46.56
519,Student_519,9.9,74,40.8,F,Pass,44.46
522,Student_522,4.4,68,83.2,C,Pass,67.58
526,Student_526,5.2,57,51.2,F,Pass,45.75
531,Student_531,8.3,67,58.9,F,Pass,53.33
532,Student_532,10.0,55,68.3,D,Pass,56.23
533,Student_533,10.0,67,89.3,C,Pass,71.83
534,Student_534,6.0,68,67.6,D,Pass,58.46
535,Student_535,7.9,71,61.5,D,Pass,55.84
539,Student_539,5.1,52,50.4,F,Pass,44.0
541,Student_541,9.6,59,89.6,C,Pass,69.95
545,Student_545,6.6,64,60.9,D,Pass,53.53
547,Student_547,2.0,56,84.9,C,Pass,65.24
548,Student_548,7.0,61,79.1,C,Pass,63.76
551,Student_551,5.7,70,90.5,B,Pass,72.66
553,Student_553,6.0,73,98.7,B,Pass,78.37
554,Student_554,6.0,69,78.0,C,Pass,64.95
556,Student_556,4.6,53,80.6,C,Pass,62.3
559,Student_559,7.8,69,44.2,F,Pass,44.94
560,Student_560,6.6,73,50.5,F,Pass,49.54
569,Student_569,9.1,51,52.8,F,Pass,45.79
570,Student_570,4.1,64,42.0,F,Pass,41.82
573,Student_573,4.6,55,96.3,B,Pass,72.22
578,Student_578,9.3,61,55.6,F,Pass,50.01
579,Student_579,5.4,52,94.4,B,Pass,70.45
581,Student_581,5.1,67,73.6,D,Pass,61.67
583,Student_583,5.4,70,66.8,D,Pass,58.39
584,Student_584,4.0,64,67.6,D,Pass,57.16
588,Student_588,2.2,57,98.6,B,Pass,73.74
592,Student_592,6.8,72,84.4,C,Pass,69.66
595,Student_595,9.1,63,91.5,B,Pass,72.02
596,Student_596,5.3,63,57.5,F,Pass,51.05
597,Student_597,7.0,51,94.6,B,Pass,70.56
599,Student_599,2.7,54,88.3,C,Pass,66.88
604,Student_604,1.8,63,89.8,C,Pass,69.9
606,Student_606,5.1,74,92.4,B,Pass,74.7
607,Student_607,2.9,69,46.8,F,Pass,45.77
608,Student_608,4.3,51,82.2,C,Pass,62.72
610,Student_610,7.2,55,45.8,F,Pass,42.31
611,Student_611,1.4,66,54.5,F,Pass,49.41
612,Student_612,8.2,74,70.3,D,Pass,61.91
614,Student_614,1.7,51,58.1,F,Pass,47.87
617,Student_617,1.5,54,58.0,F,Pass,48.52
618,Student_618,3.5,50,84.6,C,Pass,63.78
620,Student_620,7.7,61,94.2,B,Pass,72.93
623,Student_623,4.3,72,75.6,C,Pass,64.0
626,Student_626,4.3,60,44.7,F,Pass,42.47
627,Student_627,5.2,59,54.4,F,Pass,48.17
628,Student_628,7.7,52,87.7,C,Pass,66.78
629,Student_629,1.3,63,42.1,F,Pass,41.21
630,Student_630,3.3,65,75.0,C,Pass,61.74
631,Student_631,7.4,59,99.7,B,Pass,75.68
633,Student_633,5.6,59,70.3,D,Pass,57.77
634,Student_634,5.8,61,43.8,F,Pass,42.4
637,Student_637,5.8,50,46.9,F,Pass,41.51
638,Student_638,3.2,54,45.6,F,Pass,41.34
639,Student_639,3.4,69,94.6,B,Pass,74.52
640,Student_640,4.4,57,80.2,C,Pass,63.03
642,Student_642,3.9,61,92.7,B,Pass,71.45
643,Student_643,2.9,50,74.3,D,Pass,57.52
644,Student_644,3.9,69,71.0,D,Pass,60.44
650,Student_650,5.5,61,93.6,B,Pass,72.23
657,Student_657,3.6,64,70.7,D,Pass,58.96
658,Student_658,4.3,55,46.3,F,Pass,42.18
660,Student_660,6.1,69,69.3,D,Pass,59.74
662,Student_662,9.9,63,97.0,B,Pass,75.43
663,Student_663,6.5,51,76.0,C,Pass,59.33
664,Student_664,3.1,58,84.6,C,Pass,65.72
666,Student_666,2.4,69,78.0,C,Pass,64.41
669,Student_669,2.7,50,61.7,D,Pass,49.93
671,Student_671,2.6,55,42.7,F,Pass,39.76
673,Student_673,1.7,54,56.6,F,Pass,47.72
677,Student_677,2.0,63,51.8,F,Pass,47.13
678,Student_678,4.6,61,76.6,C,Pass,61.9
680,Student_680,8.8,69,52.4,F,Pass,50.01
682,Student_682,3.3,73,40.3,F,Pass,42.92
685,Student_685,9.4,74,42.2,F,Pass,45.23
693,Student_693,5.6,72,63.8,D,Pass,57.12
696,Student_696,6.5,69,46.8,F,Pass,46.3
697,Student_697,3.6,72,60.7,D,Pass,54.96
699,Student_699,2.4,65,92.5,B,Pass,72.11
702,Student_702,1.5,57,99.6,B,Pass,74.23
704,Student_704,2.2,70,56.5,F,Pass,51.73
705,Student_705,1.6,50,63.7,D,Pass,50.96
706,Student_706,9.9,57,65.3,D,Pass,54.91
710,Student_710,7.1,54,76.5,C,Pass,60.46
712,Student_712,6.4,71,89.4,C,Pass,72.35
715,Student_715,4.1,50,40.1,F,Pass,37.18
718,Student_718,9.7,59,55.5,F,Pass,49.5
721,Student_721,9.4,67,81.2,C,Pass,66.88
722,Student_722,2.6,66,46.9,F,Pass,45.03
724,Student_724,7.7,57,67.4,D,Pass,55.85
728,Student_728,8.2,61,85.1,C,Pass,67.54
730,Student_730,2.5,57,44.8,F,Pass,41.5
731,Student_731,2.5,74,61.3,D,Pass,55.65
733,Student_733,7.0,53,80.1,C,Pass,62.36
735,Student_735,4.2,50,61.7,D,Pass,50.15
736,Student_736,8.9,68,75.6,C,Pass,63.69
738,Student_738,8.3,65,78.2,C,Pass,64.42
739,Student_739,5.0,63,94.8,B,Pass,73.38
741,Student_741,5.2,54,92.4,B,Pass,69.72
745,Student_745,3.1,51,44.0,F,Pass,39.62
747,Student_747,4.5,55,48.5,F,Pass,43.52
748,Student_748,5.9,58,40.7,F,Pass,39.8
751,Student_751,2.1,74,69.2,D,Pass,60.34
753,Student_753,6.6,62,42.6,F,Pass,42.05
754,Student_754,4.0,58,47.4,F,Pass,43.54
755,Student_755,2.3,62,73.5,D,Pass,59.95
758,Student_758,5.8,60,79.1,C,Pass,63.33
759,Student_759,9.0,53,90.7,B,Pass,69.02
763,Student_763,3.2,53,56.5,F,Pass,47.63
765,Student_765,1.3,68,87.3,C,Pass,69.57
766,Student_766,6.1,55,66.8,D,Pass,54.74
768,Student_768,8.9,67,89.3,C,Pass,71.66
769,Student_769,4.1,62,91.5,B,Pass,71.02
771,Student_771,2.0,72,65.9,D,Pass,57.84
772,Student_772,8.6,68,59.1,F,Pass,53.75
774,Student_774,4.6,60,62.3,D,Pass,53.07
775,Student_775,8.2,50,76.1,C,Pass,59.39
776,Student_776,2.3,73,82.3,C,Pass,67.97
777,Student_777,3.1,56,81.3,C,Pass,63.24
778,Student_778,7.5,74,62.5,D,Pass,57.12
779,Student_779,7.5,70,50.0,F,Pass,48.62
780,Student_780,6.8,64,65.8,D,Pass,56.5
781,Student_781,7.2,50,48.6,F,Pass,42.74
782,Student_782,5.9,61,93.4,B,Pass,72.17
783,Student_783,3.3,56,60.8,D,Pass,50.97
784,Student_784,4.1,64,49.3,F,Pass,46.2
785,Student_785,2.6,70,41.5,F,Pass,42.79
786,Student_786,9.2,68,78.7,C,Pass,65.6
788,Student_788,4.6,74,60.4,D,Pass,55.43
797,Student_797,9.4,60,67.2,D,Pass,56.73
799,Student_799,7.3,57,48.4,F,Pass,44.38
801,Student_801,7.4,63,41.7,F,Pass,41.88
802,Student_802,2.4,59,70.3,D,Pass,57.29
803,Student_803,6.2,51,97.8,B,Pass,72.36
805,Student_805,4.8,58,42.3,F,Pass,40.6
806,Student_806,7.6,52,41.9,F,Pass,39.28
807,Student_807,9.4,70,63.3,D,Pass,56.89
809,Student_809,5.1,57,41.4,F,Pass,39.86
811,Student_811,9.9,51,67.5,D,Pass,54.73
812,Student_812,8.6,55,57.4,F,Pass,49.48
816,Student_816,5.7,74,58.8,F,Pass,54.63
817,Student_817,6.3,61,93.3,B,Pass,72.17
818,Student_818,4.6,54,76.2,C,Pass,59.91
822,Student_822,1.0,64,97.7,B,Pass,74.77
825,Student_825,5.8,64,60.4,D,Pass,53.11
828,Student_828,4.1,72,70.3,D,Pass,60.8
829,Student_829,7.6,55,72.5,D,Pass,58.39
835,Student_835,5.5,70,51.7,F,Pass,49.34
836,Student_836,4.8,72,43.5,F,Pass,44.82
838,Student_838,4.3,65,56.2,F,Pass,50.62
840,Student_840,6.7,64,73.5,D,Pass,61.11
841,Student_841,1.1,74,60.8,D,Pass,55.14
843,Student_843,2.6,60,48.4,F,Pass,44.43
845,Student_845,2.3,64,77.6,C,Pass,62.9
846,Student_846,4.7,53,69.3,D,Pass,55.53
847,Student_847,1.8,70,64.1,D,Pass,56.23
848,Student_848,10.0,62,99.6,B,Pass,76.76
849,Student_849,5.5,71,92.8,B,Pass,74.26
850,Student_850,6.4,68,70.3,D,Pass,60.14
852,Student_852,7.7,63,77.2,C,Pass,63.23
853,Student_853,2.9,53,52.1,F,Pass,44.95
861,Student_861,8.0,57,83.3,C,Pass,65.43
862,Student_862,5.1,65,72.0,D,Pass,60.21
866,Student_866,6.0,67,47.5,F,Pass,46.15
867,Student_867,2.4,51,87.7,C,Pass,65.73
869,Student_869,8.8,62,92.6,B,Pass,72.38
870,Student_870,9.5,53,96.6,B,Pass,72.63
872,Student_872,3.4,74,67.8,D,Pass,59.69
874,Student_874,4.7,60,69.0,D,Pass,57.1
875,Student_875,1.2,56,91.8,B,Pass,69.26
878,Student_878,6.9,59,57.1,F,Pass,50.04
880,Student_880,3.0,62,85.7,C,Pass,67.37
882,Student_882,7.0,56,70.7,D,Pass,57.47
887,Student_887,6.9,69,64.5,D,Pass,56.98
888,Student_888,3.1,53,89.7,C,Pass,67.53
889,Student_889,1.9,56,70.3,D,Pass,56.46
890,Student_890,3.2,50,74.4,D,Pass,57.62
895,Student_895,7.0,62,66.3,D,Pass,56.33
896,Student_896,2.8,71,90.8,B,Pass,72.65
897,Student_897,3.6,70,93.6,B,Pass,74.2
898,Student_898,9.1,71,43.7,F,Pass,45.34
900,Student_900,1.8,58,66.9,D,Pass,54.91
902,Student_902,1.2,58,77.6,C,Pass,61.24
903,Student_903,2.6,64,95.6,B,Pass,73.75
904,Student_904,6.2,59,41.1,F,Pass,40.34
905,Student_905,4.8,73,68.6,D,Pass,60.13
907,Student_907,8.4,57,83.4,C,Pass,65.55
908,Student_908,4.1,73,81.6,C,Pass,67.82
909,Student_909,3.3,65,48.1,F,Pass,45.6
914,Student_914,4.7,53,52.6,F,Pass,45.52
916,Student_916,4.9,73,40.5,F,Pass,43.28
917,Student_917,3.7,68,70.3,D,Pass,59.73
920,Student_920,2.3,59,57.7,F,Pass,49.71
921,Student_921,8.8,74,40.9,F,Pass,44.36
922,Student_922,5.4,67,84.3,C,Pass,68.14
923,Student_923,9.1,68,70.3,D,Pass,60.55
925,Student_925,4.8,59,70.3,D,Pass,57.65
928,Student_928,5.9,54,79.5,C,Pass,62.08
935,Student_935,2.5,70,64.5,D,Pass,56.57
936,Student_936,3.5,66,64.4,D,Pass,55.66
937,Student_937,1.2,71,44.0,F,Pass,44.33
940,Student_940,6.2,64,88.5,C,Pass,70.03
943,Student_943,6.9,56,97.3,B,Pass,73.41
945,Student_945,2.9,60,58.0,F,Pass,50.23
946,Student_946,1.1,59,44.6,F,Pass,41.68
947,Student_947,2.2,58,70.0,D,Pass,56.83
948,Student_948,9.1,63,87.7,C,Pass,69.73
949,Student_949,8.9,62,82.4,C,Pass,66.27
950,Student_950,6.4,74,43.0,F,Pass,45.26
951,Student_951,6.4,51,70.3,D,Pass,55.89
953,Student_953,2.6,56,57.7,F,Pass,49.01
954,Student_954,9.2,70,53.9,F,Pass,51.22
955,Student_955,4.8,67,56.9,F,Pass,51.61
956,Student_956,4.4,52,88.2,C,Pass,66.58
961,Student_961,1.7,60,68.6,D,Pass,56.41
963,Student_963,3.2,73,78.4,C,Pass,65.77
965,Student_965,3.6,68,76.2,C,Pass,63.26
966,Student_966,4.2,53,61.5,D,Pass,50.78
979,Student_979,5.5,52,88.2,C,Pass,66.75
980,Student_980,6.4,58,73.2,D,Pass,59.38
981,Student_981,4.0,57,71.2,D,Pass,57.57
983,Student_983,2.0,55,86.5,C,Pass,65.95
986,Student_986,5.5,53,57.1,F,Pass,48.34
987,Student_987,7.2,62,70.3,D,Pass,58.76
989,Student_989,3.2,51,43.3,F,Pass,39.21
990,Student_990,8.4,54,84.9,C,Pass,65.7
994,Student_994,6.3,70,42.8,F,Pass,44.12
995,Student_995,4.2,57,56.6,F,Pass,48.84
997,Student_997,9.3,57,43.8,F,Pass,41.93
999,Student_999,9.6,52,40.2,F,Pass,38.56
